Date, level, difference value
01/06/2019, 100, -0.28633118
01/06/2019, 70, -0.38279724
01/06/2019, 50, -0.3200531
01/06/2019, 30, -0.27867126
01/06/2019, 20, -0.14839172
01/06/2019, 10, 0.34100342
01/06/2019, 7, 0.1398468
01/06/2019, 5, -0.026901245
01/06/2019, 3, -0.050369263
01/06/2019, 2, 1.8288116
01/06/2019, 1, 2.1101532
02/06/2019, 100, -0.33384705
02/06/2019, 70, -0.45069885
02/06/2019, 50, -0.31858826
02/06/2019, 30, -0.23495483
02/06/2019, 20, -0.1151886
02/06/2019, 10, 0.34898376
02/06/2019, 7, 0.30995178
02/06/2019, 5, 0.28330994
02/06/2019, 3, 0.29730225
02/06/2019, 2, 2.1632233
02/06/2019, 1, 1.4135895
03/06/2019, 100, -0.34700012
03/06/2019, 70, -0.46292114
03/06/2019, 50, -0.310318
03/06/2019, 30, -0.23071289
03/06/2019, 20, -0.040908813
03/06/2019, 10, 0.358078
03/06/2019, 7, 0.23431396
03/06/2019, 5, 0.33766174
03/06/2019, 3, 0.7580261
03/06/2019, 2, 2.924347
03/06/2019, 1, 0.25730896
04/06/2019, 100, -0.3991394
04/06/2019, 70, -0.48771667
04/06/2019, 50, -0.34832764
04/06/2019, 30, -0.2621765
04/06/2019, 20, -0.046295166
04/06/2019, 10, 0.4099579
04/06/2019, 7, 0.29838562
04/06/2019, 5, 0.36024475
04/06/2019, 3, 0.65260315
04/06/2019, 2, 2.6547852
04/06/2019, 1, -0.19761658
05/06/2019, 100, -0.4706421
05/06/2019, 70, -0.47529602
05/06/2019, 50, -0.3262024
05/06/2019, 30, -0.2253418
05/06/2019, 20, -0.036239624
05/06/2019, 10, 0.40548706
05/06/2019, 7, 0.45230103
05/06/2019, 5, 0.23994446
05/06/2019, 3, 0.28382874
05/06/2019, 2, 2.0832367
05/06/2019, 1, -0.34103394
06/06/2019, 100, -0.494339
06/06/2019, 70, -0.5892792
06/06/2019, 50, -0.30056763
06/06/2019, 30, -0.24263
06/06/2019, 20, -0.124938965
06/06/2019, 10, 0.45483398
06/06/2019, 7, 0.46488953
06/06/2019, 5, 0.21324158
06/06/2019, 3, 0.25115967
