Date, level, difference value
01/08/2002, 100, 0.46018982
01/08/2002, 70, 0.87145996
01/08/2002, 50, 0.20526123
01/08/2002, 30, 0.3818817
01/08/2002, 20, 0.7577362
01/08/2002, 10, -0.69548035
01/08/2002, 7, 0.9767456
01/08/2002, 5, 5.2917175
01/08/2002, 3, 1.4918518
01/08/2002, 2, -5.9033966
01/08/2002, 1, 3.0120392
02/08/2002, 100, 0.45983887
02/08/2002, 70, 0.8117676
02/08/2002, 50, 0.16532898
02/08/2002, 30, 0.43348694
02/08/2002, 20, 0.5224304
02/08/2002, 10, -0.4283905
02/08/2002, 7, 1.8627014
02/08/2002, 5, 5.084259
02/08/2002, 3, 0.20924377
02/08/2002, 2, -5.9000854
02/08/2002, 1, 4.542633
03/08/2002, 100, 0.40664673
03/08/2002, 70, 0.7687073
03/08/2002, 50, 0.20115662
03/08/2002, 30, 0.2931671
03/08/2002, 20, 0.32351685
03/08/2002, 10, -0.031326294
03/08/2002, 7, 2.1499634
03/08/2002, 5, 5.1192474
03/08/2002, 3, 0.16773987
03/08/2002, 2, -5.0363617
03/08/2002, 1, 3.4088593
04/08/2002, 100, 0.49139404
04/08/2002, 70, 0.8450012
04/08/2002, 50, 0.36064148
04/08/2002, 30, 0.08314514
04/08/2002, 20, 0.22132874
04/08/2002, 10, 0.17803955
04/08/2002, 7, 2.6346893
04/08/2002, 5, 5.3354034
04/08/2002, 3, 0.11543274
04/08/2002, 2, -3.9587708
04/08/2002, 1, 2.3286438
05/08/2002, 100, 0.5261841
05/08/2002, 70, 0.90382385
05/08/2002, 50, 0.3252716
05/08/2002, 30, -0.06491089
05/08/2002, 20, 0.1434021
05/08/2002, 10, 0.58425903
05/08/2002, 7, 3.0808258
05/08/2002, 5, 4.940262
05/08/2002, 3, 0.08779907
05/08/2002, 2, -3.3399353
05/08/2002, 1, 0.6074524
06/08/2002, 100, 0.5398865
06/08/2002, 70, 0.8544769
06/08/2002, 50, 0.36106873
06/08/2002, 30, -0.09146118
06/08/2002, 20, 0.18412781
06/08/2002, 10, 0.60754395
06/08/2002, 7, 2.7926178
06/08/2002, 5, 3.992981
06/08/2002, 3, 0.16023254
06/08/2002, 2, -2.7332458
06/08/2002, 1, 0.48324585
07/08/2002, 100, 0.5294037
07/08/2002, 70, 0.7857971
07/08/2002, 50, 0.24116516
07/08/2002, 30, -0.06137085
07/08/2002, 20, 0.20014954
07/08/2002, 10, 0.3459015
07/08/2002, 7, 2.39299
07/08/2002, 5, 3.8555603
07/08/2002, 3, 0.20347595
07/08/2002, 2, -3.5365295
07/08/2002, 1, 0.9580078
08/08/2002, 100, 0.4721985
08/08/2002, 70, 0.75320435
08/08/2002, 50, 0.18327332
08/08/2002, 30, 0.023040771
08/08/2002, 20, 0.29696655
08/08/2002, 10, -0.16014099
08/08/2002, 7, 2.3078766
08/08/2002, 5, 4.3405914
08/08/2002, 3, -0.3928833
08/08/2002, 2, -4.1002502
08/08/2002, 1, 1.657135
09/08/2002, 100, 0.4948578
09/08/2002, 70, 0.7923279
09/08/2002, 50, 0.31436157
09/08/2002, 30, 0.037887573
09/08/2002, 20, 0.41470337
09/08/2002, 10, -0.10180664
09/08/2002, 7, 1.6832886
09/08/2002, 5, 4.675308
09/08/2002, 3, -0.3347931
09/08/2002, 2, -5.934662
09/08/2002, 1, 2.8746643
10/08/2002, 100, 0.40641785
10/08/2002, 70, 0.8440552
10/08/2002, 50, 0.43743896
10/08/2002, 30, -0.019470215
10/08/2002, 20, 0.47135925
10/08/2002, 10, -0.019958496
10/08/2002, 7, 1.8484039
10/08/2002, 5, 4.959381
10/08/2002, 3, -0.8280487
10/08/2002, 2, -6.8843384
10/08/2002, 1, 3.4108582
11/08/2002, 100, 0.587265
11/08/2002, 70, 0.72865295
11/08/2002, 50, 0.19628906
11/08/2002, 30, -0.040725708
11/08/2002, 20, 0.5174408
11/08/2002, 10, -0.030426025
11/08/2002, 7, 2.2729797
11/08/2002, 5, 5.2921143
11/08/2002, 3, -0.6209259
11/08/2002, 2, -5.9171295
11/08/2002, 1, 4.533783
12/08/2002, 100, 0.59942627
12/08/2002, 70, 0.66423035
12/08/2002, 50, 0.18850708
12/08/2002, 30, -0.045898438
12/08/2002, 20, 0.30101013
12/08/2002, 10, 0.48294067
12/08/2002, 7, 2.755249
12/08/2002, 5, 4.6656494
12/08/2002, 3, -0.044052124
12/08/2002, 2, -3.4190063
12/08/2002, 1, 2.4519348
13/08/2002, 100, 0.56599426
13/08/2002, 70, 0.66999817
13/08/2002, 50, 0.2516327
13/08/2002, 30, -0.026138306
13/08/2002, 20, 0.14624023
13/08/2002, 10, 1.3123016
13/08/2002, 7, 2.9640808
13/08/2002, 5, 3.8565216
13/08/2002, 3, 0.45596313
13/08/2002, 2, -2.0927887
13/08/2002, 1, 1.8487244
14/08/2002, 100, 0.57040405
14/08/2002, 70, 0.59635925
14/08/2002, 50, 0.12722778
14/08/2002, 30, 0.056625366
14/08/2002, 20, 0.20059204
14/08/2002, 10, 1.2869415
14/08/2002, 7, 2.8600464
14/08/2002, 5, 3.6195679
14/08/2002, 3, 0.3153534
14/08/2002, 2, -2.384201
14/08/2002, 1, 1.7840271
15/08/2002, 100, 0.605072
15/08/2002, 70, 0.58569336
15/08/2002, 50, -0.08673096
15/08/2002, 30, 0.05001831
15/08/2002, 20, 0.28941345
15/08/2002, 10, 0.9920502
15/08/2002, 7, 2.5512085
15/08/2002, 5, 3.0726318
15/08/2002, 3, 0.47875977
15/08/2002, 2, -2.3476715
15/08/2002, 1, 1.2313843
16/08/2002, 100, 0.43426514
16/08/2002, 70, 0.670166
16/08/2002, 50, 0.08314514
16/08/2002, 30, -0.048828125
16/08/2002, 20, 0.19737244
16/08/2002, 10, 1.041748
16/08/2002, 7, 2.8699646
16/08/2002, 5, 3.0953522
16/08/2002, 3, -0.33506775
16/08/2002, 2, -1.9926147
16/08/2002, 1, 1.5731201
17/08/2002, 100, 0.31340027
17/08/2002, 70, 0.5923462
17/08/2002, 50, 0.34991455
17/08/2002, 30, -0.107666016
17/08/2002, 20, -0.0010070801
17/08/2002, 10, 1.2263947
17/08/2002, 7, 2.9544983
17/08/2002, 5, 3.2210083
17/08/2002, 3, -0.4573822
17/08/2002, 2, -2.035141
17/08/2002, 1, 1.3681335
18/08/2002, 100, 0.38371277
18/08/2002, 70, 0.60243225
18/08/2002, 50, 0.14154053
18/08/2002, 30, -0.122558594
18/08/2002, 20, -0.016601562
18/08/2002, 10, 1.1953583
18/08/2002, 7, 2.6642914
18/08/2002, 5, 2.7163086
18/08/2002, 3, -0.22619629
18/08/2002, 2, -1.8887634
18/08/2002, 1, 1.2467957
19/08/2002, 100, 0.3997345
19/08/2002, 70, 0.66404724
19/08/2002, 50, 0.025466919
19/08/2002, 30, -0.12663269
19/08/2002, 20, 0.04272461
19/08/2002, 10, 1.18367
19/08/2002, 7, 2.611435
19/08/2002, 5, 3.580536
19/08/2002, 3, 0.5594635
19/08/2002, 2, -2.8801575
19/08/2002, 1, 1.3326721
20/08/2002, 100, 0.42385864
20/08/2002, 70, 0.64920044
20/08/2002, 50, -0.025238037
20/08/2002, 30, -0.140625
20/08/2002, 20, 0.14866638
20/08/2002, 10, 1.612503
20/08/2002, 7, 2.805832
20/08/2002, 5, 3.2846222
20/08/2002, 3, 1.55513
20/08/2002, 2, -1.1204834
20/08/2002, 1, 0.13513184
21/08/2002, 100, 0.2704773
21/08/2002, 70, 0.6329956
21/08/2002, 50, 0.18255615
21/08/2002, 30, -0.14411926
21/08/2002, 20, 0.19670105
21/08/2002, 10, 2.293457
