Date, level, difference value
01/06/2019, 100, -0.14567566
01/06/2019, 70, -0.23324585
01/06/2019, 50, -0.15795898
01/06/2019, 30, -0.108291626
01/06/2019, 20, -0.11151123
01/06/2019, 10, -0.28845215
01/06/2019, 7, -1.1813812
01/06/2019, 5, -1.3907471
01/06/2019, 3, -2.9286194
01/06/2019, 2, -0.5556488
01/06/2019, 1, 0.45750427
02/06/2019, 100, -0.22566223
02/06/2019, 70, -0.30393982
02/06/2019, 50, -0.12409973
02/06/2019, 30, -0.16007996
02/06/2019, 20, -0.14294434
02/06/2019, 10, -0.302063
02/06/2019, 7, -1.0397797
02/06/2019, 5, -1.1537476
02/06/2019, 3, -2.7500916
02/06/2019, 2, -0.34869385
02/06/2019, 1, -0.29574585
03/06/2019, 100, -0.2615509
03/06/2019, 70, -0.3295288
03/06/2019, 50, -0.12776184
03/06/2019, 30, -0.16427612
03/06/2019, 20, -0.102996826
03/06/2019, 10, -0.24258423
03/06/2019, 7, -1.1900482
03/06/2019, 5, -1.0869598
03/06/2019, 3, -2.8047028
03/06/2019, 2, 0.10697937
03/06/2019, 1, -0.74209595
04/06/2019, 100, -0.30322266
04/06/2019, 70, -0.35520935
04/06/2019, 50, -0.17958069
04/06/2019, 30, -0.10342407
04/06/2019, 20, -0.122421265
04/06/2019, 10, -0.3753662
04/06/2019, 7, -0.97509766
04/06/2019, 5, -1.2698975
04/06/2019, 3, -2.791092
04/06/2019, 2, 0.23963928
04/06/2019, 1, -0.6910858
05/06/2019, 100, -0.28076172
05/06/2019, 70, -0.35061646
05/06/2019, 50, -0.23425293
05/06/2019, 30, -0.04347229
05/06/2019, 20, -0.14813232
05/06/2019, 10, -0.3662567
05/06/2019, 7, -1.0715332
05/06/2019, 5, -1.3607635
05/06/2019, 3, -2.0556793
05/06/2019, 2, -0.50634766
05/06/2019, 1, -0.2571869
06/06/2019, 100, -0.3046875
06/06/2019, 70, -0.44224548
06/06/2019, 50, -0.19334412
06/06/2019, 30, -0.08000183
06/06/2019, 20, -0.22877502
06/06/2019, 10, -0.42565918
06/06/2019, 7, -1.1704559
06/06/2019, 5, -1.3112793
06/06/2019, 3, -2.4832764
06/06/2019, 2, -0.18386841
06/06/2019, 1, -0.39375305
07/06/2019, 100, -0.38052368
07/06/2019, 70, -0.4489441
07/06/2019, 50, -0.17422485
07/06/2019, 30, -0.19657898
07/06/2019, 20, -0.18641663
07/06/2019, 10, -0.3561859
07/06/2019, 7, -1.0896301
