Date, level, difference value
01/08/2002, 100, -0.80893517
01/08/2002, 70, -0.9560356
01/08/2002, 50, -1.0945225
01/08/2002, 30, -1.4227219
01/08/2002, 20, -1.5024414
01/08/2002, 10, -2.027462
01/08/2002, 7, -2.7971992
01/08/2002, 5, -2.4149818
01/08/2002, 3, -1.3680763
01/08/2002, 2, -3.5941086
01/08/2002, 1, -3.5984993
02/08/2002, 100, -0.6414528
02/08/2002, 70, -0.7298069
02/08/2002, 50, -0.9453869
02/08/2002, 30, -1.1915092
02/08/2002, 20, -1.1391144
02/08/2002, 10, -1.9681206
02/08/2002, 7, -2.1790695
02/08/2002, 5, -1.6108704
02/08/2002, 3, -0.8381386
02/08/2002, 2, -3.3657722
02/08/2002, 1, -3.2421913
03/08/2002, 100, -0.67487717
03/08/2002, 70, -0.8147011
03/08/2002, 50, -1.0166473
03/08/2002, 30, -1.2296791
03/08/2002, 20, -1.2161293
03/08/2002, 10, -1.6311569
03/08/2002, 7, -2.0932388
03/08/2002, 5, -1.2987976
03/08/2002, 3, -0.82614136
03/08/2002, 2, -3.5645752
03/08/2002, 1, -2.322979
04/08/2002, 100, -0.94151306
04/08/2002, 70, -1.0291157
04/08/2002, 50, -1.1399441
04/08/2002, 30, -1.4583206
04/08/2002, 20, -1.4430504
04/08/2002, 10, -2.1331139
04/08/2002, 7, -2.3424568
04/08/2002, 5, -1.6152077
04/08/2002, 3, -1.2306328
04/08/2002, 2, -3.1514168
04/08/2002, 1, -2.6639671
05/08/2002, 100, -1.0877342
05/08/2002, 70, -1.2305698
05/08/2002, 50, -1.3430405
05/08/2002, 30, -1.6051292
05/08/2002, 20, -1.6858597
05/08/2002, 10, -2.15485
05/08/2002, 7, -2.1599808
05/08/2002, 5, -1.3132706
05/08/2002, 3, -1.3638687
05/08/2002, 2, -3.1054688
05/08/2002, 1, -1.7106743
06/08/2002, 100, -1.0991306
06/08/2002, 70, -1.161787
06/08/2002, 50, -1.3955021
06/08/2002, 30, -1.7174988
06/08/2002, 20, -1.8652191
06/08/2002, 10, -2.2240334
06/08/2002, 7, -1.9731865
06/08/2002, 5, -1.4596977
06/08/2002, 3, -1.4072876
06/08/2002, 2, -2.2017746
06/08/2002, 1, -0.8684311
07/08/2002, 100, -1.6078262
07/08/2002, 70, -1.6194916
07/08/2002, 50, -1.7576141
07/08/2002, 30, -2.001112
07/08/2002, 20, -2.3560257
07/08/2002, 10, -2.4381866
07/08/2002, 7, -2.2796707
07/08/2002, 5, -1.8886032
07/08/2002, 3, -1.6842575
07/08/2002, 2, -3.0030518
07/08/2002, 1, -2.7154922
08/08/2002, 100, -1.109457
08/08/2002, 70, -1.3148441
08/08/2002, 50, -1.4145718
08/08/2002, 30, -1.8229752
08/08/2002, 20, -1.7416534
08/08/2002, 10, -2.211712
08/08/2002, 7, -2.3318176
08/08/2002, 5, -1.8196716
08/08/2002, 3, -1.4081535
08/08/2002, 2, -2.918354
08/08/2002, 1, -2.8847008
09/08/2002, 100, -1.1806526
