Date, level, difference value
01/06/2019, 100, -0.28633118
01/06/2019, 70, -0.38279724
01/06/2019, 50, -0.32006836
01/06/2019, 30, -0.27867126
01/06/2019, 20, -0.14839172
01/06/2019, 10, 0.34100342
01/06/2019, 7, 0.13983154
01/06/2019, 5, -0.026916504
01/06/2019, 3, -0.05038452
01/06/2019, 2, 1.8288422
01/06/2019, 1, 2.1101532
02/06/2019, 100, -0.3338623
02/06/2019, 70, -0.45069885
02/06/2019, 50, -0.31858826
02/06/2019, 30, -0.23495483
02/06/2019, 20, -0.11515808
02/06/2019, 10, 0.34899902
02/06/2019, 7, 0.30996704
02/06/2019, 5, 0.28329468
02/06/2019, 3, 0.29730225
02/06/2019, 2, 2.1632385
02/06/2019, 1, 1.4135895
03/06/2019, 100, -0.34698486
03/06/2019, 70, -0.46290588
03/06/2019, 50, -0.310318
03/06/2019, 30, -0.23071289
03/06/2019, 20, -0.040893555
03/06/2019, 10, 0.358078
03/06/2019, 7, 0.23428345
03/06/2019, 5, 0.33766174
03/06/2019, 3, 0.75805664
03/06/2019, 2, 2.924347
03/06/2019, 1, 0.25730896
04/06/2019, 100, -0.3991394
04/06/2019, 70, -0.48768616
04/06/2019, 50, -0.34832764
04/06/2019, 30, -0.26216125
04/06/2019, 20, -0.046295166
04/06/2019, 10, 0.4099579
04/06/2019, 7, 0.29841614
04/06/2019, 5, 0.36021423
04/06/2019, 3, 0.65257263
04/06/2019, 2, 2.6548157
04/06/2019, 1, -0.19761658
05/06/2019, 100, -0.47065735
05/06/2019, 70, -0.47529602
05/06/2019, 50, -0.32617188
05/06/2019, 30, -0.22535706
05/06/2019, 20, -0.036239624
05/06/2019, 10, 0.4054718
05/06/2019, 7, 0.45230103
05/06/2019, 5, 0.23994446
05/06/2019, 3, 0.28382874
05/06/2019, 2, 2.0832367
05/06/2019, 1, -0.34103394
06/06/2019, 100, -0.49435425
06/06/2019, 70, -0.5892792
06/06/2019, 50, -0.30055237
06/06/2019, 30, -0.24264526
06/06/2019, 20, -0.12495422
06/06/2019, 10, 0.45483398
06/06/2019, 7, 0.46488953
06/06/2019, 5, 0.2132721
06/06/2019, 3, 0.2511444
