Date, level, difference value
01/06/2019, 100, -0.6637888
01/06/2019, 70, -0.74702835
01/06/2019, 50, -0.9277706
01/06/2019, 30, -1.2445393
01/06/2019, 20, -1.4387169
01/06/2019, 10, -1.7344856
01/06/2019, 7, -1.9787598
01/06/2019, 5, -2.1516457
01/06/2019, 3, -2.2520218
01/06/2019, 2, -2.412323
01/06/2019, 1, -2.8646164
02/06/2019, 100, -0.48593426
02/06/2019, 70, -0.56921005
02/06/2019, 50, -0.7197075
02/06/2019, 30, -0.8951149
02/06/2019, 20, -1.2037811
02/06/2019, 10, -1.6522102
02/06/2019, 7, -1.8703308
02/06/2019, 5, -2.0357094
02/06/2019, 3, -2.3700638
02/06/2019, 2, -2.8112602
02/06/2019, 1, -2.5683517
03/06/2019, 100, -0.42727184
03/06/2019, 70, -0.5183487
03/06/2019, 50, -0.67510605
03/06/2019, 30, -0.93427086
03/06/2019, 20, -1.177187
03/06/2019, 10, -1.6978302
03/06/2019, 7, -1.795929
03/06/2019, 5, -2.1638832
03/06/2019, 3, -2.4540443
03/06/2019, 2, -2.94001
03/06/2019, 1, -3.1053677
04/06/2019, 100, -0.546957
04/06/2019, 70, -0.71201706
04/06/2019, 50, -0.8761444
04/06/2019, 30, -1.0635929
04/06/2019, 20, -1.2333508
04/06/2019, 10, -1.7496033
04/06/2019, 7, -2.054802
04/06/2019, 5, -2.1782799
04/06/2019, 3, -2.151928
04/06/2019, 2, -2.2942696
04/06/2019, 1, -2.234253
05/06/2019, 100, -0.7884369
05/06/2019, 70, -1.0236626
05/06/2019, 50, -1.0241337
05/06/2019, 30, -1.1305656
05/06/2019, 20, -1.5824795
05/06/2019, 10, -1.7966156
05/06/2019, 7, -1.9078255
05/06/2019, 5, -2.1093597
05/06/2019, 3, -1.8715286
05/06/2019, 2, -2.142067
05/06/2019, 1, -2.5920677
06/06/2019, 100, -0.8630104
06/06/2019, 70, -0.79486465
06/06/2019, 50, -0.9745693
06/06/2019, 30, -1.2411785
06/06/2019, 20, -1.3516598
06/06/2019, 10, -1.6847115
06/06/2019, 7, -1.9359818
06/06/2019, 5, -2.1191444
06/06/2019, 3, -2.2262917
06/06/2019, 2, -2.269516
06/06/2019, 1, -2.578251
07/06/2019, 100, -0.6040087
07/06/2019, 70, -0.5917206
07/06/2019, 50, -0.7999077
07/06/2019, 30, -1.0789795
07/06/2019, 20, -1.2991982
07/06/2019, 10, -1.6858292
07/06/2019, 7, -1.9500618
07/06/2019, 5, -2.2000504
07/06/2019, 3, -2.5129967
07/06/2019, 2, -2.7333221
07/06/2019, 1, -2.381977
08/06/2019, 100, -0.67934227
08/06/2019, 70, -0.80093956
