Date, level, difference value
01/06/2019, 100, -0.14065552
01/06/2019, 70, -0.14953613
01/06/2019, 50, -0.1621399
01/06/2019, 30, -0.17037964
01/06/2019, 20, -0.036880493
01/06/2019, 10, 0.6294861
01/06/2019, 7, 1.3212128
01/06/2019, 5, 1.3638153
01/06/2019, 3, 2.8782349
01/06/2019, 2, 2.384491
01/06/2019, 1, 1.6526489
02/06/2019, 100, -0.10820007
02/06/2019, 70, -0.14675903
02/06/2019, 50, -0.19444275
02/06/2019, 30, -0.07485962
02/06/2019, 20, 0.027755737
02/06/2019, 10, 0.6510773
02/06/2019, 7, 1.3497314
02/06/2019, 5, 1.4370117
02/06/2019, 3, 3.0473938
02/06/2019, 2, 2.5119476
02/06/2019, 1, 1.7093353
03/06/2019, 100, -0.0854187
03/06/2019, 70, -0.13339233
03/06/2019, 50, -0.18257141
03/06/2019, 30, -0.06640625
03/06/2019, 20, 0.062088013
03/06/2019, 10, 0.600647
03/06/2019, 7, 1.4243622
03/06/2019, 5, 1.4245911
03/06/2019, 3, 3.5627594
03/06/2019, 2, 2.8174133
03/06/2019, 1, 0.99942017
04/06/2019, 100, -0.09593201
04/06/2019, 70, -0.13246155
04/06/2019, 50, -0.16874695
04/06/2019, 30, -0.15872192
04/06/2019, 20, 0.076156616
04/06/2019, 10, 0.78530884
04/06/2019, 7, 1.2735596
04/06/2019, 5, 1.630127
04/06/2019, 3, 3.4436493
04/06/2019, 2, 2.415207
04/06/2019, 1, 0.4934845
05/06/2019, 100, -0.18989563
05/06/2019, 70, -0.12466431
05/06/2019, 50, -0.09194946
05/06/2019, 30, -0.18190002
05/06/2019, 20, 0.111846924
05/06/2019, 10, 0.7717743
05/06/2019, 7, 1.52388
05/06/2019, 5, 1.600708
05/06/2019, 3, 2.3395233
05/06/2019, 2, 2.5895844
05/06/2019, 1, -0.08387756
06/06/2019, 100, -0.18963623
06/06/2019, 70, -0.14706421
06/06/2019, 50, -0.10720825
06/06/2019, 30, -0.16267395
06/06/2019, 20, 0.1038208
06/06/2019, 10, 0.8805084
06/06/2019, 7, 1.6353455
06/06/2019, 5, 1.5245209
06/06/2019, 3, 2.7344208
06/06/2019, 2, 2.0772552
06/06/2019, 1, 1.0512695
07/06/2019, 100, -0.15444946
07/06/2019, 70, -0.13973999
07/06/2019, 50, -0.11946106
07/06/2019, 30, -0.14413452
07/06/2019, 20, 0.091430664
07/06/2019, 10, 0.9065857
07/06/2019, 7, 1.7038269
07/06/2019, 5, 1.4039154
07/06/2019, 3, 3.415863
07/06/2019, 2, 1.7570038
07/06/2019, 1, 1.7104797
08/06/2019, 100, -0.13085938
08/06/2019, 70, -0.20043945
08/06/2019, 50, -0.12287903
08/06/2019, 30, -0.061691284
08/06/2019, 20, 0.0029296875
08/06/2019, 10, 0.993515
08/06/2019, 7, 1.4904785
08/06/2019, 5, 1.4432068
08/06/2019, 3, 3.026947
08/06/2019, 2, 0.9873352
08/06/2019, 1, 2.166031
09/06/2019, 100, -0.12487793
09/06/2019, 70, -0.17279053
09/06/2019, 50, -0.12271118
09/06/2019, 30, -0.14561462
09/06/2019, 20, 0.05895996
09/06/2019, 10, 0.9151459
09/06/2019, 7, 1.4738312
09/06/2019, 5, 1.447525
09/06/2019, 3, 3.081833
09/06/2019, 2, 0.5091095
09/06/2019, 1, 2.731308
10/06/2019, 100, -0.0020751953
10/06/2019, 70, -0.15052795
10/06/2019, 50, -0.107910156
10/06/2019, 30, -0.09136963
10/06/2019, 20, 0.11526489
10/06/2019, 10, 0.9738159
10/06/2019, 7, 1.7071075
10/06/2019, 5, 1.4772491
10/06/2019, 3, 2.8791351
10/06/2019, 2, 0.87008667
10/06/2019, 1, 3.1047058
11/06/2019, 100, -0.07763672
11/06/2019, 70, -0.12768555
11/06/2019, 50, -0.06378174
11/06/2019, 30, -0.07400513
11/06/2019, 20, 0.09609985
11/06/2019, 10, 0.9511261
11/06/2019, 7, 1.8533325
11/06/2019, 5, 1.5905151
11/06/2019, 3, 2.7644348
11/06/2019, 2, 1.1364899
11/06/2019, 1, 3.387207
12/06/2019, 100, -0.08973694
12/06/2019, 70, -0.06932068
12/06/2019, 50, -0.048324585
12/06/2019, 30, -0.03717041
12/06/2019, 20, 0.101364136
12/06/2019, 10, 0.91212463
12/06/2019, 7, 1.6136932
12/06/2019, 5, 1.587677
12/06/2019, 3, 3.3495026
12/06/2019, 2, 0.7763977
12/06/2019, 1, 2.7974396
13/06/2019, 100, -0.015838623
13/06/2019, 70, -0.0016937256
13/06/2019, 50, -0.035354614
13/06/2019, 30, 0.0262146
13/06/2019, 20, 0.115982056
13/06/2019, 10, 0.964859
13/06/2019, 7, 1.6044159
13/06/2019, 5, 1.8222961
13/06/2019, 3, 3.7908173
13/06/2019, 2, 0.6826782
13/06/2019, 1, 3.2313385
14/06/2019, 100, -0.034729004
14/06/2019, 70, -0.016189575
14/06/2019, 50, -0.057998657
14/06/2019, 30, -0.04159546
14/06/2019, 20, 0.032485962
14/06/2019, 10, 0.9754486
14/06/2019, 7, 1.463028
14/06/2019, 5, 1.5279999
14/06/2019, 3, 3.1889648
14/06/2019, 2, 0.9618683
14/06/2019, 1, 2.2747498
15/06/2019, 100, -0.0499115
15/06/2019, 70, -0.049606323
15/06/2019, 50, -0.08850098
15/06/2019, 30, -0.09562683
15/06/2019, 20, 0.13700867
15/06/2019, 10, 0.77345276
15/06/2019, 7, 1.556778
15/06/2019, 5, 1.2531738
15/06/2019, 3, 3.2264862
15/06/2019, 2, 2.377121
15/06/2019, 1, 1.1348114
16/06/2019, 100, -0.041793823
16/06/2019, 70, -0.09365845
16/06/2019, 50, -0.0871582
16/06/2019, 30, 0.0038146973
16/06/2019, 20, 0.124801636
16/06/2019, 10, 0.983963
16/06/2019, 7, 1.5587616
16/06/2019, 5, 1.6088867
16/06/2019, 3, 3.2101135
16/06/2019, 2, 2.2154694
16/06/2019, 1, 1.7575684
17/06/2019, 100, -0.062423706
17/06/2019, 70, -0.08744812
17/06/2019, 50, -0.08639526
17/06/2019, 30, -0.04524231
17/06/2019, 20, 0.06843567
17/06/2019, 10, 1.1721802
17/06/2019, 7, 1.7506866
17/06/2019, 5, 1.2424469
17/06/2019, 3, 3.8424225
17/06/2019, 2, 2.6494598
17/06/2019, 1, 1.7955627
18/06/2019, 100, -0.023803711
18/06/2019, 70, -0.04624939
18/06/2019, 50, -0.12974548
18/06/2019, 30, -0.0927124
18/06/2019, 20, 0.15855408
18/06/2019, 10, 1.0206146
18/06/2019, 7, 1.5923767
18/06/2019, 5, 1.5623627
18/06/2019, 3, 3.0114746
18/06/2019, 2, 2.4912872
18/06/2019, 1, 1.3038025
19/06/2019, 100, -0.030471802
19/06/2019, 70, -0.07803345
19/06/2019, 50, -0.14305115
19/06/2019, 30, 0.00048828125
19/06/2019, 20, 0.19236755
19/06/2019, 10, 0.89123535
19/06/2019, 7, 1.7133484
19/06/2019, 5, 1.5295105
19/06/2019, 3, 3.0575256
19/06/2019, 2, 1.7619019
19/06/2019, 1, 1.5061493
20/06/2019, 100, -0.045944214
20/06/2019, 70, -0.10632324
20/06/2019, 50, -0.043685913
20/06/2019, 30, 0.007217407
20/06/2019, 20, 0.09976196
20/06/2019, 10, 0.9494171
20/06/2019, 7, 1.768753
20/06/2019, 5, 1.4807739
20/06/2019, 3, 3.055954
20/06/2019, 2, 1.4681244
20/06/2019, 1, 1.9501648
21/06/2019, 100, -0.038391113
21/06/2019, 70, -0.061767578
21/06/2019, 50, -0.058288574
21/06/2019, 30, -0.10345459
21/06/2019, 20, 0.23414612
21/06/2019, 10, 0.8437042
21/06/2019, 7, 1.8797913
21/06/2019, 5, 1.684967
21/06/2019, 3, 2.6835632
21/06/2019, 2, 1.4799347
21/06/2019, 1, 1.5999298
22/06/2019, 100, -0.03981018
22/06/2019, 70, -0.08711243
22/06/2019, 50, -0.06278992
22/06/2019, 30, -0.0713501
22/06/2019, 20, 0.13052368
22/06/2019, 10, 1.103302
22/06/2019, 7, 1.8141937
22/06/2019, 5, 1.4897308
22/06/2019, 3, 2.7651825
22/06/2019, 2, 1.5925293
22/06/2019, 1, 2.0471954
23/06/2019, 100, -0.030654907
23/06/2019, 70, -0.11457825
23/06/2019, 50, -0.12135315
23/06/2019, 30, -0.018737793
23/06/2019, 20, 0.21704102
23/06/2019, 10, 0.933136
23/06/2019, 7, 1.9584656
23/06/2019, 5, 1.9696045
23/06/2019, 3, 2.2897034
23/06/2019, 2, 1.5755463
23/06/2019, 1, 3.823944
24/06/2019, 100, 0.03678894
24/06/2019, 70, -0.094436646
24/06/2019, 50, -0.07987976
24/06/2019, 30, -0.09010315
24/06/2019, 20, 0.24946594
24/06/2019, 10, 0.9025116
24/06/2019, 7, 1.9545288
24/06/2019, 5, 1.7470398
24/06/2019, 3, 2.9865875
24/06/2019, 2, 2.1319427
24/06/2019, 1, 3.5703735
25/06/2019, 100, 0.16474915
25/06/2019, 70, -0.044937134
25/06/2019, 50, -0.15715027
25/06/2019, 30, -0.07585144
25/06/2019, 20, 0.28401184
25/06/2019, 10, 1.002182
25/06/2019, 7, 1.9325104
25/06/2019, 5, 1.5270386
25/06/2019, 3, 3.6719818
25/06/2019, 2, 3.2211456
25/06/2019, 1, 1.4755554
26/06/2019, 100, 0.20361328
26/06/2019, 70, -0.0712738
26/06/2019, 50, -0.11804199
26/06/2019, 30, 0.09124756
26/06/2019, 20, 0.19267273
26/06/2019, 10, 0.9977417
26/06/2019, 7, 2.1381073
26/06/2019, 5, 1.551239
26/06/2019, 3, 3.289978
26/06/2019, 2, 2.7652435
26/06/2019, 1, 2.5658875
27/06/2019, 100, 0.14859009
27/06/2019, 70, -0.005935669
27/06/2019, 50, -0.08747864
27/06/2019, 30, -0.06239319
27/06/2019, 20, 0.22161865
27/06/2019, 10, 1.1920624
27/06/2019, 7, 1.8460083
27/06/2019, 5, 1.245636
27/06/2019, 3, 3.5267334
27/06/2019, 2, 2.972046
27/06/2019, 1, 2.3192444
28/06/2019, 100, 0.15104675
28/06/2019, 70, 0.10269165
28/06/2019, 50, -0.08784485
28/06/2019, 30, 0.020690918
28/06/2019, 20, 0.21646118
28/06/2019, 10, 1.3058472
28/06/2019, 7, 1.7666168
28/06/2019, 5, 1.4479523
28/06/2019, 3, 3.6353455
28/06/2019, 2, 3.4968567
28/06/2019, 1, 1.9445953
29/06/2019, 100, 0.11457825
29/06/2019, 70, 0.0050201416
29/06/2019, 50, 0.0717926
29/06/2019, 30, -0.043640137
29/06/2019, 20, 0.26501465
29/06/2019, 10, 1.1598969
29/06/2019, 7, 1.8859406
29/06/2019, 5, 1.4996033
29/06/2019, 3, 3.9203796
29/06/2019, 2, 2.3804321
29/06/2019, 1, 2.997223
30/06/2019, 100, 0.14923096
30/06/2019, 70, -0.040527344
30/06/2019, 50, 0.101760864
30/06/2019, 30, -0.0021209717
30/06/2019, 20, 0.26412964
30/06/2019, 10, 1.0674286
30/06/2019, 7, 1.8162994
30/06/2019, 5, 1.6611328
30/06/2019, 3, 3.9756622
30/06/2019, 2, 1.7714691
30/06/2019, 1, 2.5653381
01/07/2019, 100, 0.09257507
01/07/2019, 70, 0.06036377
01/07/2019, 50, 0.012771606
01/07/2019, 30, 0.09214783
01/07/2019, 20, 0.28370667
01/07/2019, 10, 1.2119141
01/07/2019, 7, 2.0834503
01/07/2019, 5, 1.7893219
01/07/2019, 3, 3.6522064
01/07/2019, 2, 1.8867035
01/07/2019, 1, 2.8438568
02/07/2019, 100, 0.06138611
02/07/2019, 70, 0.090667725
