Date, level, difference value
01/08/2002, 100, 0.10935402
01/08/2002, 70, -0.07829857
01/08/2002, 50, -0.091897964
01/08/2002, 30, -0.026508331
01/08/2002, 20, -0.1303482
01/08/2002, 10, -0.099868774
01/08/2002, 7, 0.27342606
01/08/2002, 5, -0.17825317
01/08/2002, 3, -1.5669556
01/08/2002, 2, -0.30415726
01/08/2002, 1, 0.29571152
02/08/2002, 100, -0.21550941
02/08/2002, 70, -0.36729813
02/08/2002, 50, -0.37042618
02/08/2002, 30, -0.4017601
02/08/2002, 20, -0.61727905
02/08/2002, 10, -0.3519287
02/08/2002, 7, -0.2872734
02/08/2002, 5, -0.7814102
02/08/2002, 3, -1.7181892
02/08/2002, 2, -0.58600235
02/08/2002, 1, 0.42837906
03/08/2002, 100, -0.28901482
03/08/2002, 70, -0.3066101
03/08/2002, 50, -0.495018
03/08/2002, 30, -0.49363327
03/08/2002, 20, -0.6268158
03/08/2002, 10, -0.76280975
03/08/2002, 7, -0.4537201
03/08/2002, 5, -0.98672104
03/08/2002, 3, -2.1747055
03/08/2002, 2, -0.4123764
03/08/2002, 1, 0.24158478
04/08/2002, 100, -0.07044411
04/08/2002, 70, -0.17424774
04/08/2002, 50, -0.22325897
04/08/2002, 30, -0.31526566
04/08/2002, 20, -0.47714233
04/08/2002, 10, -0.5097008
04/08/2002, 7, -0.4459343
04/08/2002, 5, -1.2807732
04/08/2002, 3, -2.154869
04/08/2002, 2, -0.90202713
04/08/2002, 1, -0.20276642
05/08/2002, 100, 0.09364128
05/08/2002, 70, 0.029212952
05/08/2002, 50, -0.11318588
05/08/2002, 30, -0.11268234
05/08/2002, 20, -0.17873383
05/08/2002, 10, -0.2582779
05/08/2002, 7, -0.42980194
05/08/2002, 5, -1.3955841
05/08/2002, 3, -2.263443
05/08/2002, 2, -1.3226166
05/08/2002, 1, -1.0014839
06/08/2002, 100, 0.587698
06/08/2002, 70, 0.43598557
06/08/2002, 50, 0.3454094
06/08/2002, 30, 0.28222656
06/08/2002, 20, 0.25437927
06/08/2002, 10, 0.12288284
06/08/2002, 7, -0.27420044
06/08/2002, 5, -0.91960144
06/08/2002, 3, -1.411911
06/08/2002, 2, -0.7560501
06/08/2002, 1, -0.56694794
07/08/2002, 100, 0.9800091
07/08/2002, 70, 0.794775
07/08/2002, 50, 0.664938
07/08/2002, 30, 0.6913128
07/08/2002, 20, 0.6667633
07/08/2002, 10, 0.38270187
07/08/2002, 7, 0.14393616
07/08/2002, 5, -0.2837181
07/08/2002, 3, -0.81129456
07/08/2002, 2, -0.17868423
07/08/2002, 1, 0.26239014
08/08/2002, 100, 0.5095539
08/08/2002, 70, 0.39232635
08/08/2002, 50, 0.28947067
08/08/2002, 30, 0.3244362
