Date, level, difference value
01/08/2002, 100, -1.2308197
01/08/2002, 70, -1.3267059
01/08/2002, 50, -0.51187134
01/08/2002, 30, -0.59710693
01/08/2002, 20, -0.6811676
01/08/2002, 10, 1.2474518
01/08/2002, 7, -1.1238861
01/08/2002, 5, -4.9334717
01/08/2002, 3, 2.943924
01/08/2002, 2, 10.173676
01/08/2002, 1, -12.424667
02/08/2002, 100, -1.3582153
02/08/2002, 70, -1.3634491
02/08/2002, 50, -0.5655823
02/08/2002, 30, -0.5970459
02/08/2002, 20, -0.40722656
02/08/2002, 10, 0.9025421
02/08/2002, 7, -1.9035645
02/08/2002, 5, -4.467148
02/08/2002, 3, 4.55571
02/08/2002, 2, 10.614609
02/08/2002, 1, -13.578659
03/08/2002, 100, -1.3153229
03/08/2002, 70, -1.3911896
03/08/2002, 50, -0.6320343
03/08/2002, 30, -0.55737305
03/08/2002, 20, -0.34306335
03/08/2002, 10, 0.40797424
03/08/2002, 7, -2.4680634
03/08/2002, 5, -4.566696
03/08/2002, 3, 5.06398
03/08/2002, 2, 8.869263
03/08/2002, 1, -13.393021
04/08/2002, 100, -1.2822723
04/08/2002, 70, -1.4282379
04/08/2002, 50, -0.6302185
04/08/2002, 30, -0.33564758
04/08/2002, 20, -0.1932373
04/08/2002, 10, 0.49386597
04/08/2002, 7, -2.7274323
04/08/2002, 5, -4.3132935
04/08/2002, 3, 5.1735992
04/08/2002, 2, 6.9365387
04/08/2002, 1, -11.752411
05/08/2002, 100, -1.1908875
05/08/2002, 70, -1.4636993
05/08/2002, 50, -0.61586
05/08/2002, 30, -0.12208557
05/08/2002, 20, -0.07098389
05/08/2002, 10, -0.06271362
05/08/2002, 7, -2.859024
05/08/2002, 5, -3.4804382
05/08/2002, 3, 4.401947
05/08/2002, 2, 4.9530334
05/08/2002, 1, -9.820251
06/08/2002, 100, -1.1646423
06/08/2002, 70, -1.3246613
06/08/2002, 50, -0.5793152
06/08/2002, 30, -0.07698059
06/08/2002, 20, -0.045135498
06/08/2002, 10, -0.22041321
06/08/2002, 7, -2.8293
06/08/2002, 5, -3.314148
06/08/2002, 3, 2.8851013
06/08/2002, 2, 3.284546
06/08/2002, 1, -9.72879
07/08/2002, 100, -1.1880646
07/08/2002, 70, -1.2859192
07/08/2002, 50, -0.5863342
07/08/2002, 30, -0.23651123
07/08/2002, 20, -0.27763367
07/08/2002, 10, -0.15904236
07/08/2002, 7, -2.5779877
07/08/2002, 5, -3.249176
07/08/2002, 3, 3.3779144
07/08/2002, 2, 5.4480896
07/08/2002, 1, -9.60672
08/08/2002, 100, -1.1565704
08/08/2002, 70, -1.2961884
08/08/2002, 50, -0.58821106
08/08/2002, 30, -0.33467102
08/08/2002, 20, -0.31973267
08/08/2002, 10, 0.05255127
08/08/2002, 7, -2.97406
08/08/2002, 5, -3.873886
08/08/2002, 3, 4.0493774
08/08/2002, 2, 6.3958282
08/08/2002, 1, -10.349884
09/08/2002, 100, -1.0968628
09/08/2002, 70, -1.4203033
09/08/2002, 50, -0.63520813
09/08/2002, 30, -0.34347534
09/08/2002, 20, -0.41896057
09/08/2002, 10, 0.05517578
09/08/2002, 7, -2.5127258
09/08/2002, 5, -4.233322
09/08/2002, 3, 4.2541656
09/08/2002, 2, 8.581543
09/08/2002, 1, -12.438538
10/08/2002, 100, -1.024826
10/08/2002, 70, -1.3639679
10/08/2002, 50, -0.6671753
10/08/2002, 30, -0.22683716
10/08/2002, 20, -0.30223083
10/08/2002, 10, 0.25712585
10/08/2002, 7, -2.3733978
10/08/2002, 5, -4.3431854
10/08/2002, 3, 4.9954834
10/08/2002, 2, 9.448242
10/08/2002, 1, -13.487732
11/08/2002, 100, -1.1444397
11/08/2002, 70, -1.2532806
11/08/2002, 50, -0.48362732
11/08/2002, 30, -0.2013855
11/08/2002, 20, -0.25569153
11/08/2002, 10, 0.29737854
11/08/2002, 7, -2.5493317
11/08/2002, 5, -4.253998
11/08/2002, 3, 5.12764
11/08/2002, 2, 8.8714905
11/08/2002, 1, -14.85144
12/08/2002, 100, -1.1944733
12/08/2002, 70, -1.1038055
12/08/2002, 50, -0.3633728
12/08/2002, 30, -0.19517517
12/08/2002, 20, 0.057434082
12/08/2002, 10, 0.0043640137
12/08/2002, 7, -2.749771
12/08/2002, 5, -3.4831696
12/08/2002, 3, 4.377014
12/08/2002, 2, 5.9658966
12/08/2002, 1, -12.617035
13/08/2002, 100, -1.0350342
13/08/2002, 70, -1.1439209
13/08/2002, 50, -0.3663025
13/08/2002, 30, -0.03060913
13/08/2002, 20, 0.2883911
13/08/2002, 10, -0.48791504
13/08/2002, 7, -2.6614227
13/08/2002, 5, -2.4971771
13/08/2002, 3, 3.2831879
13/08/2002, 2, 4.4059296
13/08/2002, 1, -9.215027
14/08/2002, 100, -1.1335297
14/08/2002, 70, -1.1663055
14/08/2002, 50, -0.40248108
14/08/2002, 30, -0.170578
14/08/2002, 20, 0.17219543
14/08/2002, 10, -0.7762604
14/08/2002, 7, -2.6239471
14/08/2002, 5, -1.9067688
14/08/2002, 3, 3.2024384
14/08/2002, 2, 3.7502594
14/08/2002, 1, -7.9890137
15/08/2002, 100, -1.2397156
15/08/2002, 70, -1.1311035
15/08/2002, 50, -0.41983032
15/08/2002, 30, -0.28259277
15/08/2002, 20, -0.19998169
15/08/2002, 10, -0.7283325
15/08/2002, 7, -2.312851
15/08/2002, 5, -1.9668579
15/08/2002, 3, 2.1586456
15/08/2002, 2, 3.6234894
15/08/2002, 1, -6.721924
16/08/2002, 100, -1.00914
16/08/2002, 70, -1.1015015
16/08/2002, 50, -0.5512543
16/08/2002, 30, -0.35076904
16/08/2002, 20, -0.20965576
16/08/2002, 10, -0.88679504
16/08/2002, 7, -2.6980438
16/08/2002, 5, -1.5594635
16/08/2002, 3, 3.5651855
16/08/2002, 2, 3.6284943
16/08/2002, 1, -8.10498
17/08/2002, 100, -0.87020874
17/08/2002, 70, -1.1951752
17/08/2002, 50, -0.6501465
17/08/2002, 30, -0.19946289
17/08/2002, 20, 0.1346283
17/08/2002, 10, -1.0245209
17/08/2002, 7, -2.8688507
17/08/2002, 5, -1.7702026
17/08/2002, 3, 3.4459534
17/08/2002, 2, 3.8934479
17/08/2002, 1, -8.5121765
18/08/2002, 100, -1.0453033
18/08/2002, 70, -1.1604614
18/08/2002, 50, -0.43884277
18/08/2002, 30, -0.2091217
18/08/2002, 20, 0.06794739
18/08/2002, 10, -0.8113556
18/08/2002, 7, -2.7785187
18/08/2002, 5, -2.2346802
18/08/2002, 3, 3.007553
18/08/2002, 2, 4.4488525
18/08/2002, 1, -8.50943
19/08/2002, 100, -1.0303955
19/08/2002, 70, -1.0900421
19/08/2002, 50, -0.386734
19/08/2002, 30, -0.307724
19/08/2002, 20, 0.10812378
19/08/2002, 10, -0.59469604
19/08/2002, 7, -2.2138672
19/08/2002, 5, -2.4579468
19/08/2002, 3, 3.0013275
19/08/2002, 2, 6.196396
19/08/2002, 1, -9.032532
20/08/2002, 100, -1.1180115
20/08/2002, 70, -1.2568817
20/08/2002, 50, -0.4638672
20/08/2002, 30, -0.22991943
20/08/2002, 20, 0.11143494
20/08/2002, 10, -0.84202576
20/08/2002, 7, -2.145111
20/08/2002, 5, -2.1728058
20/08/2002, 3, 2.0562134
20/08/2002, 2, 4.291458
20/08/2002, 1, -8.011505
21/08/2002, 100, -1.0165405
21/08/2002, 70, -1.2187653
21/08/2002, 50, -0.6209564
21/08/2002, 30, 0.119506836
21/08/2002, 20, 0.40196228
21/08/2002, 10, -0.92337036
21/08/2002, 7, -1.2223358
21/08/2002, 5, -0.7159424
