Date, level, difference value
01/08/2002, 100, -0.80893517
01/08/2002, 70, -0.9560356
01/08/2002, 50, -1.0945244
01/08/2002, 30, -1.4227257
01/08/2002, 20, -1.5024414
01/08/2002, 10, -2.0274658
01/08/2002, 7, -2.797203
01/08/2002, 5, -2.4149857
01/08/2002, 3, -1.3680687
01/08/2002, 2, -3.5941086
01/08/2002, 1, -3.5984993
02/08/2002, 100, -0.6414528
02/08/2002, 70, -0.729805
02/08/2002, 50, -0.9453907
02/08/2002, 30, -1.1915092
02/08/2002, 20, -1.1391182
02/08/2002, 10, -1.9681206
02/08/2002, 7, -2.1790733
02/08/2002, 5, -1.6108742
02/08/2002, 3, -0.8381386
02/08/2002, 2, -3.365776
02/08/2002, 1, -3.2421951
03/08/2002, 100, -0.67487717
03/08/2002, 70, -0.8147049
03/08/2002, 50, -1.0166454
03/08/2002, 30, -1.2296829
03/08/2002, 20, -1.2161293
03/08/2002, 10, -1.6311646
03/08/2002, 7, -2.0932312
03/08/2002, 5, -1.2987976
03/08/2002, 3, -0.82614136
03/08/2002, 2, -3.5645752
03/08/2002, 1, -2.322979
04/08/2002, 100, -0.94151306
04/08/2002, 70, -1.0291176
04/08/2002, 50, -1.139946
04/08/2002, 30, -1.4583206
04/08/2002, 20, -1.4430504
04/08/2002, 10, -2.13311
04/08/2002, 7, -2.342453
04/08/2002, 5, -1.6152115
04/08/2002, 3, -1.2306252
04/08/2002, 2, -3.151413
04/08/2002, 1, -2.6639633
05/08/2002, 100, -1.0877342
05/08/2002, 70, -1.2305698
05/08/2002, 50, -1.3430405
05/08/2002, 30, -1.605133
05/08/2002, 20, -1.6858635
05/08/2002, 10, -2.15485
05/08/2002, 7, -2.1599846
05/08/2002, 5, -1.3132744
05/08/2002, 3, -1.3638763
05/08/2002, 2, -3.1054688
05/08/2002, 1, -1.7106705
06/08/2002, 100, -1.0991306
06/08/2002, 70, -1.161787
06/08/2002, 50, -1.395504
06/08/2002, 30, -1.7174988
06/08/2002, 20, -1.8652191
06/08/2002, 10, -2.2240257
06/08/2002, 7, -1.9731827
06/08/2002, 5, -1.4597015
06/08/2002, 3, -1.4072838
06/08/2002, 2, -2.2017746
06/08/2002, 1, -0.8684311
07/08/2002, 100, -1.6078262
07/08/2002, 70, -1.6194897
07/08/2002, 50, -1.757616
07/08/2002, 30, -2.0011082
07/08/2002, 20, -2.3560257
07/08/2002, 10, -2.4381905
07/08/2002, 7, -2.2796745
07/08/2002, 5, -1.888607
07/08/2002, 3, -1.6842613
07/08/2002, 2, -3.0030518
07/08/2002, 1, -2.7154922
08/08/2002, 100, -1.1094551
08/08/2002, 70, -1.314846
08/08/2002, 50, -1.4145756
08/08/2002, 30, -1.8229752
08/08/2002, 20, -1.7416534
08/08/2002, 10, -2.211708
08/08/2002, 7, -2.33181
08/08/2002, 5, -1.819664
08/08/2002, 3, -1.4081573
08/08/2002, 2, -2.9183617
08/08/2002, 1, -2.884697
09/08/2002, 100, -1.1806507
